question,answer,difficulty,source
What is the title of the document?,RENTAL AGREEMENT,easy,/Users/ramalakshmi/Documents/ydata/data-generation-legalqa-ydata/documents/rental.txt
Who is the landlord in this rental agreement?,Mr. Ramesh Mehta,easy,/Users/ramalakshmi/Documents/ydata/data-generation-legalqa-ydata/documents/rental.txt
What is the address of the residential property being rented?,"Flat No. 203, Lakeview Heights, HSR Layout, Bengaluru, Karnataka – 560102",easy,/Users/ramalakshmi/Documents/ydata/data-generation-legalqa-ydata/documents/rental.txt
For how many months is the rental agreement valid?,11 months,easy,/Users/ramalakshmi/Documents/ydata/data-generation-legalqa-ydata/documents/rental.txt
When is the monthly rent due each month?,By the 5th of each month,medium,/Users/ramalakshmi/Documents/ydata/data-generation-legalqa-ydata/documents/rental.txt
What is the monthly rent for the property?,"₹18,000",medium,/Users/ramalakshmi/Documents/ydata/data-generation-legalqa-ydata/documents/rental.txt
What is the refundable security deposit that the tenant agrees to pay?,"₹50,000",medium,/Users/ramalakshmi/Documents/ydata/data-generation-legalqa-ydata/documents/rental.txt
Who is responsible for major structural repairs?,The Landlord,medium,/Users/ramalakshmi/Documents/ydata/data-generation-legalqa-ydata/documents/rental.txt
What is the procedure for terminating the agreement?,Either party may terminate this agreement with a one-month written notice.,medium,/Users/ramalakshmi/Documents/ydata/data-generation-legalqa-ydata/documents/rental.txt
What are the restrictions in the rental agreement?,Subletting is not allowed and no illegal activity shall be carried out on the premises.,hard,/Users/ramalakshmi/Documents/ydata/data-generation-legalqa-ydata/documents/rental.txt
Who is the tenant in this rental agreement and where was she residing before?,"The tenant is Ms. Priya Nair, who was residing at 4th Floor, Lotus Enclave, JP Nagar, Bengaluru, Karnataka – 560078.",hard,/Users/ramalakshmi/Documents/ydata/data-generation-legalqa-ydata/documents/rental.txt
When did the landlord and tenant sign the agreement?,The agreement was signed on 01/07/2025.,hard,/Users/ramalakshmi/Documents/ydata/data-generation-legalqa-ydata/documents/rental.txt
What is the title of the document?,Non-Disclosure Agreement (NDA),easy,/Users/ramalakshmi/Documents/ydata/data-generation-legalqa-ydata/documents/nda.txt
When was the agreement signed?,"15th day of July, 2025",easy,/Users/ramalakshmi/Documents/ydata/data-generation-legalqa-ydata/documents/nda.txt
